model,category1,category2,frame,price,Albuquerque Cycles,Ann Arbor Speed,Austin Cruisers,Cincinnati Speed,Columbus Race Equipment,Dallas Cycles,Denver Bike Shop,Detroit Cycles,Indianapolis Velocipedes,Ithaca Mountain Climbers,Kansas City 29ers,Las Vegas Cycles,Los Angeles Cycles,Louisville Race Equipment,Miami Race Equipment,Minneapolis Bike Shop,Nashville Cruisers,New Orleans Velocipedes,New York Cycles,Oklahoma City Race Equipment,Philadelphia Bike Shop,Phoenix Bi-peds,Pittsburgh Mountain Machines,Portland Bi-peds,Providence Bi-peds,San Antonio Bike Shop,San Francisco Cruisers,Seattle Race Equipment,Tampa 29ers,Wichita Speed
SuperX Hi-Mod CX1,Road,Cyclocross,Carbon,3500,0.003496503,0.006644518,0.008130081,0.025575448,0.015228426,0,0.002172968,0.009920635,0.015673981,0.018196203,0.00201671,0.016025641,0.003144654,0.010126582,0.011235955,0.01369863,0.00867052,0.008695652,0.004938272,0.011255411,0.008163265,0.00845666,0.018567639,0.00621118,0.001845018,0.005376344,0.024064171,0.015625,0.024271845,0.019723866
SuperX Rival CX1,Road,Cyclocross,Carbon,1750,0.006993007,0.023255814,0,0.010230179,0.005076142,0.02991453,0.009126467,0.029761905,0.006269592,0,0.011812158,0.011217949,0.006289308,0.012658228,0.019662921,0.01369863,0.01734104,0.014130435,0.009876543,0.01991342,0.012244898,0.010570825,0,0.02173913,0.011070111,0.010752688,0.013368984,0.0078125,0,0.007889546
SuperX Ultegra,Road,Cyclocross,Carbon,2450,0,0.024916944,0.004065041,0.012787724,0.020304569,0.004273504,0.012603216,0.017857143,0.003134796,0.000791139,0.006914434,0.001602564,0.006289308,0.007594937,0.032303371,0.0152207,0.026011561,0.017391304,0.007407407,0.023376623,0.012244898,0.016913319,0.00265252,0.007763975,0.007380074,0.005376344,0.00802139,0.0234375,0,0.013806706
Syapse Carbon Tiagra,Road,Endurance Road,Carbon,1840,0.020979021,0.029900332,0.016260163,0.00511509,0.010152284,0.004273504,0.008257279,0.01984127,0.031347962,0,0.007490637,0.014423077,0,0.010126582,0.021067416,0.00761035,0.00867052,0.011956522,0.002469136,0.01991342,0.016326531,0.012684989,0,0.01242236,0.020295203,0.005376344,0.013368984,0.0078125,0,0.01183432
Synapse Carbon 105,Road,Endurance Road,Carbon,2240,0.020979021,0.021594684,0.016260163,0.007672634,0.012690355,0.017094017,0.009126467,0.007936508,0.015673981,0.001582278,0.008354941,0.006410256,0.012578616,0.005063291,0.023876404,0.01369863,0.020231214,0.018478261,0.009876543,0.015584416,0.004081633,0.007047216,0.00530504,0.01242236,0.012915129,0.021505376,0.005347594,0.0234375,0,0.015779093
Synapse Carbon Disc 105,Road,Endurance Road,Carbon,2660,0.013986014,0.016611296,0.012195122,0.012787724,0.010152284,0.017094017,0.006518905,0.009920635,0.009404389,0.000791139,0.008931144,0.011217949,0.012578616,0.007594937,0.019662921,0.0304414,0.01734104,0.018478261,0.027160494,0.017316017,0.028571429,0.009161381,0.00265252,0.017080745,0.016605166,0.010752688,0.002673797,0.03125,0,0.009861933
Synapse Carbon Disc Ultegra,Road,Endurance Road,Carbon,3730,0.006993007,0.008305648,0,0.033248082,0.027918782,0.012820513,0.002172968,0,0.006269592,0.011075949,0.002592913,0.017628205,0.009433962,0.02278481,0.005617978,0.00152207,0.00867052,0.013043478,0,0.008658009,0.004081633,0.007751938,0.00795756,0.001552795,0.007380074,0.021505376,0.00802139,0.015625,0.004854369,0.01183432
Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,4800,0.003496503,0.016611296,0,0.017902813,0.02284264,0.004273504,0.002172968,0.009920635,0.006269592,0.012658228,0.003169116,0.022435897,0.009433962,0.020253165,0.019662921,0.00761035,0.00867052,0.017391304,0.002469136,0.00952381,0,0.007751938,0.01061008,0,0.005535055,0,0.00802139,0.0234375,0.014563107,0.025641026
Synapse Carbon Ultegra 3,Road,Endurance Road,Carbon,3200,0.01048951,0.008305648,0.020325203,0.012787724,0.002538071,0.021367521,0.007822686,0.009920635,0.006269592,0.007911392,0.00806684,0.012820513,0.01572327,0.025316456,0.005617978,0.02435312,0.020231214,0.014130435,0.009876543,0.021645022,0.012244898,0.020436927,0.00530504,0.010869565,0.014760148,0.010752688,0.013368984,0.0390625,0.019417476,0.017751479
Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,2660,0.01048951,0.018272425,0.020325203,0.007672634,0.012690355,0.004273504,0.006953498,0.011904762,0.037617555,0,0.008643042,0.004807692,0.031446541,0.010126582,0.025280899,0.01369863,0.002890173,0.019565217,0.022222222,0.015584416,0.012244898,0.018322763,0,0.017080745,0.012915129,0.010752688,0.018716578,0.0234375,0,0.015779093
Synapse Claris,Road,Endurance Road,Aluminum,870,0.01048951,0.033222591,0.008130081,0.010230179,0.010152284,0.025641026,0.007388092,0.009920635,0.018808777,0.000791139,0.012100259,0.004807692,0.006289308,0.010126582,0.018258427,0.01369863,0.00867052,0.008695652,0.007407407,0.017316017,0.008163265,0.012684989,0.00265252,0.010869565,0.033210332,0.010752688,0.00802139,0.015625,0,0.003944773
Synapse Disc 105,Road,Endurance Road,Aluminum,1570,0.027972028,0.011627907,0.020325203,0.010230179,0.010152284,0.021367521,0.008257279,0.001984127,0.028213166,0.002373418,0.005762028,0.011217949,0.009433962,0.010126582,0.012640449,0.01217656,0.028901734,0.015217391,0.027160494,0.012987013,0.020408163,0.015503876,0,0.00931677,0.012915129,0.021505376,0.00802139,0.0390625,0,0.007889546
Synapse Disc Adventure,Road,Endurance Road,Aluminum,2130,0.006993007,0.008305648,0.004065041,0.012787724,0.005076142,0.012820513,0.005649718,0.013888889,0.012539185,0.002373418,0.010083549,0.011217949,0.003144654,0.005063291,0.025280899,0.01217656,0.00867052,0.025,0.019753086,0.012987013,0.012244898,0.016913319,0.00530504,0.01242236,0.012915129,0.010752688,0.013368984,0.0234375,0,0.013806706
Synapse Disc Tiagra,Road,Endurance Road,Aluminum,1250,0.017482517,0.013289037,0.028455285,0.012787724,0.007614213,0.012820513,0.011299435,0.021825397,0.040752351,0.000791139,0.00806684,0.011217949,0.012578616,0,0.012640449,0.00608828,0.034682081,0.027173913,0.012345679,0.024242424,0.012244898,0.011275546,0,0.013975155,0.018450185,0.010752688,0.013368984,0.015625,0,0.007889546
Synapse Hi-Mod Disc Black Inc.,Road,Endurance Road,Carbon,9590,0,0.004983389,0.004065041,0.025575448,0.020304569,0,0.001303781,0.003968254,0.003134796,0.014240506,0.000576203,0.017628205,0.009433962,0.027848101,0.012640449,0.00304414,0.00867052,0.011956522,0.002469136,0.012121212,0,0.005637773,0.013262599,0.004658385,0.003690037,0.010752688,0.013368984,0,0,0.013806706
Synapse Hi-Mod Disc Red,Road,Endurance Road,Carbon,7460,0.024475524,0.008305648,0.016260163,0.015345269,0.015228426,0.004273504,0.002172968,0.009920635,0.009404389,0.009493671,0.000864304,0.040064103,0.01572327,0.020253165,0.008426966,0,0.00867052,0.016304348,0.007407407,0.005194805,0.004081633,0.002114165,0.00795756,0.001552795,0.007380074,0.010752688,0.037433155,0.015625,0.004854369,0.019723866
Synapse Hi-Mod Disc Ultegra,Road,Endurance Road,Carbon,5330,0.01048951,0.013289037,0.004065041,0.023017903,0.017766497,0,0.001303781,0.001984127,0.006269592,0.005537975,0.000576203,0.024038462,0.012578616,0.012658228,0.002808989,0.00608828,0.00867052,0.005434783,0.009876543,0.012987013,0.008163265,0.002818887,0.01061008,0.00310559,0.012915129,0,0.016042781,0.015625,0.004854369,0.021696252
Synapse Hi-Mod Dura Ace,Road,Endurance Road,Carbon,5860,0.003496503,0.013289037,0.008130081,0.017902813,0.038071066,0.004273504,0.000434594,0.021825397,0.003134796,0.009493671,0.000864304,0.025641026,0,0.015189873,0.004213483,0.00761035,0.00867052,0.007608696,0,0.011255411,0,0.005637773,0.021220159,0.00310559,0.007380074,0,0.021390374,0.015625,0.009708738,0.01183432
Synapse Sora,Road,Endurance Road,Aluminum,1030,0,0.009966777,0.020325203,0.012787724,0.015228426,0.021367521,0.006953498,0.021825397,0.006269592,0.001582278,0.008354941,0.016025641,0.012578616,0.010126582,0.016853933,0.01065449,0.020231214,0.025,0.022222222,0.025108225,0.012244898,0.016208598,0,0.013975155,0.016605166,0.010752688,0.018716578,0.0546875,0,0.007889546
Trail 1,Mountain,Sport,Aluminum,1520,0,0.009966777,0.016260163,0,0.002538071,0.017094017,0.020425902,0.009920635,0.018808777,0.008702532,0.01642178,0.001602564,0.01572327,0,0.014044944,0.00913242,0.011560694,0.013043478,0.017283951,0.012987013,0.012244898,0.016208598,0.00795756,0.01863354,0.009225092,0.037634409,0,0.0078125,0,0
Trail 2,Mountain,Sport,Aluminum,1350,0.003496503,0.014950166,0.016260163,0.002557545,0.002538071,0.008547009,0.020860495,0.007936508,0.009404389,0.022151899,0.015845578,0,0.01572327,0,0.018258427,0.00608828,0.005780347,0.00326087,0.014814815,0.011255411,0.024489796,0.013389711,0.00795756,0.00621118,0.012915129,0.016129032,0,0.0078125,0.009708738,0.001972387
Trail 3,Mountain,Sport,Aluminum,1080,0.006993007,0.009966777,0.016260163,0.002557545,0.005076142,0.025641026,0.012603216,0.011904762,0.012539185,0.011075949,0.017862288,0,0.031446541,0,0.008426966,0.00761035,0.011560694,0.008695652,0.007407407,0.003463203,0.004081633,0.015503876,0.00265252,0.01863354,0.009225092,0.005376344,0.002673797,0,0.009708738,0
Trail 4,Mountain,Sport,Aluminum,980,0.017482517,0.003322259,0.008130081,0.002557545,0,0.012820513,0.015210778,0.007936508,0.012539185,0.016613924,0.021895707,0.001602564,0.012578616,0,0.009831461,0.00761035,0.005780347,0.014130435,0.014814815,0.016450216,0.016326531,0.013389711,0.026525199,0.020186335,0.005535055,0,0,0.0078125,0.004854369,0
Trail 5,Mountain,Sport,Aluminum,815,0.01048951,0.011627907,0.008130081,0,0,0.02991453,0.020425902,0.01984127,0.003134796,0.005537975,0.021607606,0,0.012578616,0,0.009831461,0.01369863,0.005780347,0.011956522,0.007407407,0.006926407,0.012244898,0.014799154,0.015915119,0.017080745,0.011070111,0.010752688,0.00802139,0,0.033980583,0
Trigger Carbon 1,Mountain,Over Mountain,Carbon,8200,0.006993007,0,0,0.010230179,0.010152284,0.004273504,0.012168622,0.017857143,0.003134796,0.018196203,0.012100259,0.012820513,0.003144654,0.005063291,0,0.00304414,0,0.004347826,0.009876543,0.001731602,0,0.004933051,0.00530504,0.004658385,0,0.005376344,0.00802139,0,0.014563107,0.015779093
Trigger Carbon 2,Mountain,Over Mountain,Carbon,5970,0.003496503,0,0,0.007672634,0.005076142,0.004273504,0.011734029,0.003968254,0.003134796,0.022943038,0.010659752,0.011217949,0.028301887,0.015189873,0.001404494,0.00456621,0,0.001086957,0.007407407,0.001731602,0,0.007047216,0.015915119,0.007763975,0.005535055,0,0.005347594,0,0.024271845,0.003944773
Trigger Carbon 3,Mountain,Over Mountain,Carbon,3730,0.006993007,0,0,0.010230179,0.017766497,0.004273504,0.012603216,0.015873016,0,0.026107595,0.012100259,0.019230769,0.009433962,0.002531646,0,0.00152207,0,0.004347826,0.004938272,0.004329004,0,0.007751938,0.037135279,0.01242236,0.001845018,0.005376344,0.024064171,0.0078125,0.014563107,0.017751479
Trigger Carbon 4,Mountain,Over Mountain,Carbon,3200,0.006993007,0.011627907,0.016260163,0.020460358,0.005076142,0.008547009,0.012603216,0.009920635,0,0.015031646,0.010371651,0.004807692,0.012578616,0.02278481,0.011235955,0.00608828,0.00867052,0.005434783,0.019753086,0.012987013,0.028571429,0.011980268,0.015915119,0.01242236,0.02398524,0.032258065,0.024064171,0.015625,0.038834951,0.017751479
